stdio    D E:\LIBS\LIBS81Rebuild\allegro525\src\file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening E:\LIBS\LIBS81Redistro\Allegro525\bin\demos\speed\allegro5.cfg r
system   D E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:852  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:763  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:766  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I E:\LIBS\LIBS81Rebuild\allegro525\src\system.c:267  al_install_system                [   0.00000] Allegro version: 5.2.5
system   D E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:852  _al_win_safe_load_library        [   0.00057] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:763  load_library_at_path             [   0.00058] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I E:\LIBS\LIBS81Rebuild\allegro525\src\win\wsystem.c:766  load_library_at_path             [   0.00264] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:674  d3d_init_display                 [   0.01191] Render-to-texture: 1
d3d      I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1768 d3d_create_display_locked        [   0.01273] faux_fullscreen=0
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1769 d3d_create_display_locked        [   0.01274] al_display=0102E830
d3d      D E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_disp.cpp:1770 d3d_create_display_locked        [   0.01275] al_display->vt=0102DF08
d3d      I E:\LIBS\LIBS81Rebuild\allegro525\src\win\d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01705] found 64 format combinations
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01706] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01708] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01709] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01710] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01711] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01712] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01712] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01713] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01714] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01715] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01716] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01716] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01717] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01722] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01723] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01724] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01725] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01726] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01726] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01727] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01728] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01729] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01730] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01730] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01731] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01732] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01733] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01734] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01734] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01735] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01736] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:527  _al_score_display_settings       [   0.01737] Score is : 641
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01737] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01738] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01739] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01740] Single Buffer requirement not met.
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:212  debug_display_settings           [   0.01741] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D E:\LIBS\LIBS81Rebuild\allegro525\src\display_settings.c:398  _al_score_display_settings       [   0.01741] Single Buffer requirement not met.
